objectid,filename,title,format,subject,creator,date,description,,location,latitude,longitude,source,identifier,type,youtubeid,language,rights,rightsstatement,polaridad,tipologia,soporte,iluminacion,tono,proceso
demo_016,demo_016.jpg,Ambrotipo,image/jpeg,Ambrotipo; Arquitectura vernácula; Siglo XIX,Anónimo,1855-1865,"Retrato de exterior de una residencia rural de mediados del siglo XIX, capturando una casa de dos plantas de estilo neoclásico o italianizante temprano con porche frontal. Frente a la casa se observa un carruaje tirado por un caballo y árboles caducifolios sin follaje, lo que sugiere una toma realizada en invierno o principios de primavera. La imagen está contenida en un estuche de lujo con un marco de latón ornamentado típico de los procesos fotográficos iniciales.",,Noreste de Estados Unidos (posiblemente Massachusetts o Nueva York),42.3601,-71.0589,Archivo Histórico Vision,zrhwo8,Image;StillImage,,es,,http://rightsstatements.org/vocab/NoC-US/1.0/,Positivo,Impresión,Vidrio,Transmisión,Monocromático,Albúmina
demo_017,demo_017.jpg,Ambrotipo,image/jpeg,Ambrotipo; Retrato decimonónico; Isaac A. Rehn,Isaac A. Rehn,1854-1860,"Retrato de estudio de medio cuerpo de un hombre joven de mediados del siglo XIX. La imagen es un ambrotipo, un proceso de colodión húmedo sobre vidrio que produce un positivo directo. El sujeto viste una indumentaria formal compuesta por una chaqueta oscura, chaleco y una corbata de lazo ancha, destacando un estilo de vello facial tipo 'beard curtain' o barba de collar, muy popular en la época. La fotografía está contenida en un estuche de madera o cuero con un marco protector de latón dorado (preservador) profusamente decorado.",,"Philadelphia, Pensilvania, EE. UU.",39.9526,-75.1652,Archivo Histórico Vision,chr578,Image;StillImage,,es,,http://rightsstatements.org/vocab/NoC-US/1.0/,Positivo,Impresión,Vidrio,Transmisión,Monocromático,Daguerrotipo
histhea0002,histhea0002.jpg,Diáspora puertorriqueña,image/jpeg,Diáspora puertorriqueña; Artes escénicas; Cultura del Bronx,Frank Gimpaya,1995,"Cartel promocional de la premier mundial de la obra multimedia 'FAMILIAS', una colaboración entre los artistas puertorriqueños Merian Soto y Pepón Osorio. La imagen central muestra una escena doméstica de una familia en el Bronx, rodeada de iconografía cultural de Puerto Rico, como máscaras de vejigantes y platos decorativos, capturando la esencia de la vida cotidiana y la identidad de la diáspora en Nueva York a mediados de los años 90.",,"Hostos Center for the Arts & Culture, El Bronx, Nueva York",40.8176,-73.9272,Archivo Histórico Vision,luhgzv,Image;StillImage,,es,,http://rightsstatements.org/vocab/NoC-US/1.0/,Positivo,Impresión,Película,Transmisión,Monocromático,Impresión plata gelatina de revelado
histhea0003,histhea0003.jpg,El Teatro Campesino,image/jpeg,El Teatro Campesino; Movimiento Chicano; Cartelismo Político,Scott Montoya,1990,"Cartel conmemorativo del 25 aniversario de El Teatro Campesino, una influyente compañía de teatro chicana fundada por Luis Valdez en 1965. La imagen presenta una ilustración vibrante y estilizada de Scott Montoya que incorpora iconografía tradicional chicana, incluyendo calaveras, máscaras teatrales y figuras de campesinos, para celebrar la trayectoria de la organización desde las huelgas de Delano hasta 1990.",,"San José, California, Estados Unidos",37.3382,-121.8863,Archivo Histórico Vision,4ve237,Image;StillImage,,es,,http://rightsstatements.org/vocab/NoC-US/1.0/,Positivo,Impresión,Papel,Reflexión,Monocromático,Impresión plata gelatina de revelado
histhea0004,histhea0004.jpg,Teatro Nuyorican,image/jpeg,Teatro Nuyorican; Miriam Colón; Jaime Carrero,Jaime Carrero,1970,"Cartel publicitario de la obra teatral 'Noo Jall' (1969-1970) del dramaturgo puertorriqueño Jaime Carrero, presentada por The Puerto Rican Traveling Theater (PRTT). La imagen muestra una ilustración estilizada en rojo de dos rostros entrelazados frente a un paisaje urbano neoyorquino, destacando la labor de Miriam Colón como productora y Pablo Cabrera como director, figuras fundamentales del teatro nuyorriqueño.",,"Nueva York, Estados Unidos",40.7628,-73.9897,Archivo Histórico Vision,mwq99h,Image;StillImage,,es,,http://rightsstatements.org/vocab/NoC-US/1.0/,Positivo,Diapositiva,Papel,Reflexión,Monocromático,Impresión plata gelatina de revelado
histhea0005,histhea0005.jpg,Teatro Chicano,image/jpeg,Teatro Chicano; Cultura Latina en Chicago; Wicker Park,Latino Chicago Theater Company (Diseño Gráfico),1989,"Cartel promocional para la producción teatral 'Roosters' de la dramaturga Milcha Sanchez-Scott, presentada por la Latino Chicago Theater Company. La obra se llevó a cabo en The Firehouse, un espacio cultural emblemático ubicado en el vecindario de Wicker Park en Chicago, durante los meses de febrero, marzo y abril de 1989.",,"1625 North Damen Avenue, Chicago, Illinois, Estados Unidos",41.91136,-87.67753,Archivo Histórico Vision,hlxq1v,Image;StillImage,,es,,http://rightsstatements.org/vocab/NoC-US/1.0/,Positivo,Impresión,Película,Transmisión,Monocromático,Impresión plata gelatina de revelado
impresion_001,impresion_001.jpg,Cabinet Card,image/jpeg,Cabinet Card; Retrato Victoriano; Utica NY,George H. Younge,1895,"Un retrato de estudio de medio busto que muestra a un hombre joven de la era victoriana tardía. El sujeto luce un peinado corto y ondulado, está afeitado y viste ropa formal que incluye un cuello de palomita (wing collar), una corbata tipo Ascot o plastrón con un alfiler de corbata, y un saco oscuro con un pañuelo de bolsillo visible. La imagen es un 'cabinet card' clásico con el nombre del fotógrafo y la ubicación impresos en la base.",,"Franklin Square, Utica, Nueva York, Estados Unidos",43.1026,-75.2288,Archivo Histórico Vision,9s9vm,Image;StillImage,,es,,http://rightsstatements.org/vocab/NoC-US/1.0/,Positivo,Impresión,Papel,Reflexión,Policromático,Albúmina
impresion_002,impresion_002.jpg,Carte-de-visite,image/jpeg,Carte-de-visite; Moda victoriana; Albúmina,Anónimo,c. 1862-1865,"Retrato de estudio de una mujer joven en formato carte-de-visite (CdV), capturado durante la década de 1860. La figura aparece sentada, luciendo un vestido de algodón o seda con un patrón de motas blancas (polka dots), característico de la moda de mediados del siglo XIX. Complementa su atuendo con mangas abullonadas, un cuello alto con un camafeo central, collares de cuentas y un tocado de encaje oscuro sobre el cabello partido al medio.",,Estados Unidos o Europa Occidental (entorno urbano),38.9072,-77.0369,Archivo Histórico Vision,eg892x,Image;StillImage,,es,,http://rightsstatements.org/vocab/NoC-US/1.0/,Positivo,Impresión,Papel,Reflexión,Sepia,Albúmina
impresion_003,impresion_003.jpg,Sullivan Bros,image/jpeg,Sullivan Bros; Hudson New York; Cabinet Card,Sullivan Bros.,Hacia 1895,"Retrato de estudio de cuerpo entero de un niño pequeño, capturado por el estudio fotográfico Sullivan Bros en Hudson, Nueva York. El sujeto posa en una actitud formal junto a un pedestal de piedra ornamental de estilo neoclásico. Viste un traje oscuro de tres piezas típico de la época, con una chaqueta decorada con lorzas o pliegues verticales, pantalones cortos tipo 'knickerbockers' y botas altas oscuras.",,"425 Warren Street, Hudson, Nueva York, EE. UU.",42.2526,-73.7882,Archivo Histórico Vision,saj8qd,Image;StillImage,,es,,http://rightsstatements.org/vocab/NoC-US/1.0/,Positivo,Impresión,Papel,Reflexión,Monocromático,Impresión plata gelatina de revelado
impresion_004,impresion_004.jpg,Tarjeta de gabinete,image/jpeg,Tarjeta de gabinete; Retrato victoriano; Moda masculina 1890,Charles L. Thomas,Circa 1885-1895,"Retrato de estudio de un hombre de mediana edad posando de pie junto a una silla decorativa. Se trata de una tarjeta de gabinete (cabinet card) clásica de finales del siglo XIX, con el sello del fotógrafo Thomas, ubicado en la intersección de las calles Main y Market en Ottumwa, Iowa.",,"Esquina de las calles Main y Market, Ottumwa, Iowa, Estados Unidos",41.0198,-92.4115,Archivo Histórico Vision,ki9sl,Image;StillImage,,es,,http://rightsstatements.org/vocab/NoC-US/1.0/,Negativo,Negativo,Vidrio,Transmisión,Policromático,Albúmina
impresion_005,impresion_005.jpg,Estereoscopía,image/jpeg,Estereoscopía; Lago Lemán; Navegación,Underwood & Underwood,1901,"Vista estereoscópica que captura una barca tradicional de carga, conocida como 'barque du Léman', navegando en el Lago Lemán (Lago Ginebra) durante el atardecer cerca de Montreux, Suiza. La imagen muestra la silueta característica de las velas latinas y el perfil de los Alpes en el horizonte.",,"Montreux, Suiza",46.4312,6.9107,Archivo Histórico Vision,engknb,Image;StillImage,,es,,http://rightsstatements.org/vocab/NoC-US/1.0/,Positivo,Impresión,Papel,Reflexión,Policromático,Colodión húmedo
impresion_006,impresion_006.jpg,Polaroid,image/jpeg,Polaroid; Arte animalista; Registro de inventario,Anónimo (Fotógrafo de catálogo o galerista),Circa 1975-1982,"Fotografía instantánea que registra una obra de arte enmarcada representando dos cebras en un estilo gráfico minimalista, una de pie y otra descansando. La imagen parece ser un registro de inventario o catálogo, evidenciado por las anotaciones manuscritas '117' y '20x30' en el margen inferior blanco, típicos de un proceso de documentación de galería o estudio artístico.",,"Estados Unidos (Probablemente Cambridge, Massachusetts)",42.3736,-71.1097,Archivo Histórico Vision,l0ptx,Image;StillImage,,es,,http://rightsstatements.org/vocab/NoC-US/1.0/,Positivo,Impresión,Película,Transmisión,Policromático,Impresión plata gelatina de revelado
impresion_007,impresion_007.jpg,Ebanistería,image/jpeg,Ebanistería; Hoja de acanto; Estilo Federal,Anónimo (Departamento de Fotografía del Museo),1975 (fecha de la fotografía),"Primer plano detallado de una columna o poste de madera tallada a mano, caracterizado por un diseño ornamental de hojas de acanto y un fondo de textura punteada ('stippled background'). La pieza muestra la pátina oscura y el acabado refinado propio de la ebanistería de estilo Federal o Neoclásico. La fotografía, por su encuadre y formato, parece ser un registro documental de conservación para un catálogo de mobiliario histórico o una colección de artes decorativas.",,"Metropolitan Museum of Art, Nueva York, Estados Unidos",40.7794,-73.9632,Archivo Histórico Vision,e3d2n,Image;StillImage,,es,,http://rightsstatements.org/vocab/NoC-US/1.0/,Negativo,Negativo,Película,Transmisión,Policromático,Impresión plata gelatina de revelado
impresion_008,impresion_008.jpg,Fotografía vernácula,image/jpeg,Fotografía vernácula; Kodak Instamatic; Degradación cromática; Retrato doméstico,Anónimo,c. 1965-1975,"Fotografía vernácula de una mujer de edad avanzada posando al aire libre frente a un arbusto de coníferas. La imagen es un ejemplo clásico de la fotografía doméstica de mediados del siglo XX, capturada en un formato cuadrado con una notable degradación cromática hacia los tonos magentas debido a la inestabilidad de los tintes químicos originales.",,Estados Unidos (Región Noreste o Medio Oeste),40.7128,-74.006,Archivo Histórico Vision,u1fn0l,Image;StillImage,,es,,http://rightsstatements.org/vocab/NoC-US/1.0/,Negativo,Negativo,Película,Transmisión,Policromático,Copia fotográfica sobre papel
impresion_009,impresion_009.jpg,Carrusel,image/jpeg,Carrusel; Kodak Instamatic; Moda infantil,Anónimo,c. 1968,"Fotografía a color de una niña pequeña con cabello rubio ondulado montada en un caballo de carrusel. La niña viste un vestido sin mangas con estampado floral, característico de finales de la década de 1960. El carrusel muestra caballos de madera tallados con detalles ornamentales y una estructura superior iluminada por bombillas incandescentes. La composición y el formato cuadrado sugieren una captura familiar típica de la clase media estadounidense de la posguerra.",,Estados Unidos (Parque de atracciones regional),39.8283,-98.5795,Archivo Histórico Vision,3di1q,Image;StillImage,,es,,http://rightsstatements.org/vocab/NoC-US/1.0/,Negativo,Negativo,Película,Transmisión,Policromático,Impresión plata gelatina de revelado
impresion_010,impresion_010.jpg,Escena doméstica,image/jpeg,Escena doméstica; Retrato familiar; Años 1970,Anónimo,Circa 1975-1979,"Una escena íntima de la vida cotidiana que captura a una mujer mayor con su nieta en un entorno doméstico. La imagen es un testimonio de la fotografía vernácula de finales de la década de 1970, destacando la moda y la decoración de interiores típica de la clase media de la época.",,"Madrid, España",40.4168,-3.7038,Archivo Histórico Vision,tu41gg,Image;StillImage,,es,,http://rightsstatements.org/vocab/NoC-US/1.0/,Positivo,Impresión,Película,Transmisión,Policromático,Impresión plata gelatina de revelado
impresion_011,impresion_011.jpg,Arquitectura de Nantucket,image/jpeg,Arquitectura de Nantucket; Polaroid; Nueva Inglaterra,Anónimo,Década de 1980,"Fotografía instantánea que captura una vivienda de estilo colonial en Nantucket, Massachusetts. La estructura presenta un revestimiento de tejas de cedro grisáceas, ventanas de guillotina de múltiples paneles y una cerca blanca de estacas, elementos icónicos de la arquitectura costera de Nueva Inglaterra. La inscripción manuscrita '6 WEYMOUTH' identifica la ubicación de la propiedad.",,"6 Weymouth Street, Nantucket, Massachusetts, EE. UU.",41.277833,-70.098744,Archivo Histórico Vision,a843sb,Image;StillImage,,es,,http://rightsstatements.org/vocab/NoC-US/1.0/,Positivo,Impresión,Película,Transmisión,Monocromático,Película instantánea de tipo integral
impresion_012,impresion_012.jpg,Presa de Mount Morris,image/jpeg,Presa de Mount Morris; Río Genesee; Parque Estatal Letchworth,Anónimo,Década de 1970,"Vista panorámica de la Presa de Mount Morris situada sobre el río Genesee, en el extremo norte del Parque Estatal Letchworth, Nueva York. La imagen muestra la imponente estructura de hormigón de tipo gravedad y las paredes escarpadas del desfiladero, caracterizadas por estratos sedimentarios visibles de lutita y arenisca, típicos del 'Gran Cañón del Este'.",,"Mount Morris, Nueva York, Estados Unidos",42.7325,-77.9161,Archivo Histórico Vision,f6rhg,Image;StillImage,,es,,http://rightsstatements.org/vocab/NoC-US/1.0/,Positivo,Impresión,Película,Transmisión,Policromático,Impresión plata gelatina de revelado
impresion_013,impresion_013.jpg,Retrato de estudio,image/jpeg,Retrato de estudio; Moda masculina finisecular; Fotografía de gabinete,Coover Studio,Circa 1900-1910,"Retrato de estudio de un caballero de mediana edad, caracterizado por un prominente bigote estilo 'handlebar' y vestimenta formal de finales de la era victoriana o principios de la eduardiana.",,"Lincoln, Nebraska, Estados Unidos",40.8136,-96.7026,Archivo Histórico Vision,qsa34e,Image;StillImage,,es,,http://rightsstatements.org/vocab/NoC-US/1.0/,Positivo,Impresión,Vidrio,Transmisión,Sepia,Impresión plata gelatina de revelado
impresion_014,impresion_014.jpg,Retrato de estudio,image/jpeg,Retrato de estudio; Moda infantil eduardiana; Fotografía de gabinete,Anónimo (Estudio fotográfico comercial),1905,"Retrato de estudio de una niña pequeña de pie sobre una silla de madera. La menor viste una indumentaria invernal de lujo para la época, consistente en un abrigo blanco con detalles de encaje en el cuello, una gorra (bonnet) a juego con lazos prominentes y medias blancas. Sostiene lo que parece ser un juguete de peluche o una muñeca. La fotografía está montada en una cartulina rígida de color marrón oscuro con un marco hundido y un escudo gofrado en la parte inferior, típico de la presentación comercial de finales del siglo XIX y principios del XX.",,Noreste de los Estados Unidos,40.7127,-74.0059,Archivo Histórico Vision,0so2zq,Image;StillImage,,es,,http://rightsstatements.org/vocab/NoC-US/1.0/,Positivo,Impresión,Papel,Reflexión,Monocromático,Impresión plata gelatina de revelado
impresion_015,impresion_015.jpg,Retrato de estudio,image/jpeg,Retrato de estudio; Albany Art Union; Moda masculina victoriana,Albany Art Union (Estudio fotográfico),1895-1905,"Retrato de estudio de un caballero de mediana edad, de busto, mirando ligeramente hacia su derecha. El sujeto presenta una barba y bigote densos y bien cuidados, y utiliza gafas de estilo quevedos (pince-nez). Viste un traje formal oscuro, camisa blanca de cuello alto y una pajarita negra. La imagen está montada sobre un cartón rígido grisáceo con el sello distintivo del estudio 'Albany Art Union' en la esquina inferior derecha.",,"Albany, Nueva York, Estados Unidos",42.652579,-73.756232,Archivo Histórico Vision,9z6ejg,Image;StillImage,,es,,http://rightsstatements.org/vocab/NoC-US/1.0/,Positivo,Impresión,Papel,Reflexión,Policromático,Impresión plata gelatina de revelado
impresion_016,impresion_016.jpg,Retrato Victoriano,image/jpeg,Retrato Victoriano; Fotografía de Estudio; Moda Eduardiana,C. H. Gallup & Co.,circa 1895-1905,"Retrato de estudio de dos mujeres jóvenes, identificadas por la inscripción manuscrita como Eliza Raymond y Dora, realizado por la firma fotográfica C. H. Gallup & Co. en Poughkeepsie, Nueva York. La imagen muestra a las jóvenes con vestimenta formal de la era victoriana tardía, caracterizada por cuellos altos de encaje y peinados recogidos con lazos.",,"Poughkeepsie, Nueva York, Estados Unidos",41.7003,-73.921,Archivo Histórico Vision,0n147b,Image;StillImage,,es,,http://rightsstatements.org/vocab/NoC-US/1.0/,Positivo,Impresión,Vidrio,Transmisión,Policromático,Impresión plata gelatina de revelado
impresion_017,impresion_017.jpg,Fotografía amateur,image/jpeg,Fotografía amateur; Paisaje marítimo; Década de 1950,Anónimo,Octubre de 1958,"Fotografía amateur en blanco y negro que captura una vista costera o de bahía bajo un cielo brumoso. En el horizonte se distinguen siluetas tenues de estructuras portuarias, barcos o infraestructuras industriales. La imagen presenta un primer plano de terreno costero con vegetación baja, seguido de una amplia extensión de agua tranquila, característica de la fotografía de viajes de mediados del siglo XX.",,"Posiblemente Bahía de San Francisco, California, Estados Unidos",37.8044,-122.4298,Archivo Histórico Vision,2jq42s,Image;StillImage,,es,,http://rightsstatements.org/vocab/NoC-US/1.0/,Negativo,Negativo,Película,Transmisión,Monocromático,Impresión plata gelatina de revelado
impresion_018,impresion_018.jpg,Pesca deportiva,image/jpeg,Pesca deportiva; Centrarchidae; Vida cotidiana,Anónimo,Década de 1950,"Una fotografía amateur en blanco y negro que muestra una captura de nueve peces (posiblemente lobinas o black bass) dispuestos en fila sobre una superficie clara, probablemente el muelle de madera de un lago o la cubierta de un bote. La imagen captura un momento típico de ocio y pesca deportiva de mediados del siglo XX.",,"Región de los Grandes Lagos, Estados Unidos/Canadá",45,-90,Archivo Histórico Vision,m40f0k,Image;StillImage,,es,,http://rightsstatements.org/vocab/NoC-US/1.0/,Positivo,Impresión,Película,Transmisión,Monocromático,Impresión plata gelatina de revelado
impresion_019,impresion_019.jpg,Retrato de estudio,image/jpeg,Retrato de estudio; Moda años 50; Fotografía analógica,Anónimo,Década de 1950,"Retrato de estudio formal de una mujer joven, característico de la estética de mediados del siglo XX. La imagen presenta un acabado en viñeta, técnica habitual en la fotografía comercial de la época para centrar la atención en el sujeto y suavizar los bordes del fondo. La expresión es sobria y la iluminación controlada, sugiriendo un propósito de identificación personal o recuerdo familiar.",,"Madrid, España",40.416775,-3.70379,Archivo Histórico Vision,w7pqo,Image;StillImage,,es,,http://rightsstatements.org/vocab/NoC-US/1.0/,Negativo,Negativo,Papel,Transmisión,Monocromático,Copia positiva de gelatina de plata sobre papel baritado
impresion_020,impresion_020.jpg,Diego Rivera,image/jpeg,Diego Rivera; Muralismo Mexicano; Ferrocarriles,Lucienne Bloch,Circa 1932,"Esta fotografía histórica captura al renombrado muralista mexicano Diego Rivera asomado por la ventana de un vagón de tren junto a un acompañante, probablemente uno de sus asistentes técnicos o colaboradores. La imagen evoca la época de los grandes viajes transcontinentales de Rivera hacia los Estados Unidos durante la década de 1930, periodo en el que realizó obras icónicas como los murales de la 'Industria de Detroit'. La composición resalta la textura industrial del vagón de acero remachado, contrastando con la humanidad de los sujetos.",,"Detroit, Michigan, Estados Unidos",42.3314,-82.0458,Archivo Histórico Vision,221jo,Image;StillImage,,es,,http://rightsstatements.org/vocab/NoC-US/1.0/,Negativo,Negativo,Película,Transmisión,Monocromático,Impresión plata gelatina de revelado
impresion_021,impresion_021.jpg,Policía Militar,image/jpeg,Policía Militar; Segunda Guerra Mundial; Uniforme M-1943,Anónimo (Soldado compañero),1944-1945,"Retrato de un soldado de la Policía Militar (MP) del Ejército de los Estados Unidos durante la Segunda Guerra Mundial. El individuo posa de pie en un camino embarrado, probablemente en el teatro de operaciones europeo. Viste la icónica chaqueta de campo M-1943 y un casco M1 con las siglas 'MP' pintadas frontalmente. El paisaje de árboles caducifolios desnudos y el terreno lodoso sugieren un clima invernal o de principios de primavera en Europa Occidental.",,"Ardenas, Bélgica / Frontera Franco-Alemana",50.0014,5.7153,Archivo Histórico Vision,hwixn,Image;StillImage,,es,,http://rightsstatements.org/vocab/NoC-US/1.0/,Positivo,Impresión,Película,Transmisión,Monocromático,Impresión plata gelatina de revelado
impresion_022,impresion_022.jpg,Sasha Montenegro,image/jpeg,Sasha Montenegro; Cine de Ficheras; Vedette,Jaime Silva,c. 1975,"Hoja de contacto fotográfica que muestra una sesión de estudio de la actriz y vedette méxico-yugoslava Sasha Montenegro. La secuencia captura diversas poses eróticas y de moda características de la estética del 'Cine de Ficheras' y el espectáculo de variedades en México durante la década de 1970. Se observan marcas de selección editorial en tinta azul y roja, incluyendo encuadres propuestos y anotaciones manuscritas como las iniciales 'JS'.",,"Ciudad de México, México",19.4326,-99.1332,Archivo Histórico Vision,vqacu,Image;StillImage,,es,,http://rightsstatements.org/vocab/NoC-US/1.0/,Positivo,Impresión,Película,Transmisión,Monocromático,Impresión plata gelatina de revelado
